imgID,annID,scID,bbox,scale,catnm,position,label,new_img_path,new_msk_path,
1,2,1,1,"[901,270,51,84]",0.005288889,Crane,4,1,com_pic/images/1.jpg,com_pic/masks/1.jpg
2,3,1,1,"[907,245,42,92]",0.00477037,Crane,4,1,com_pic/images/1.jpg,com_pic/masks/1.jpg
21,22,3,3,"[191,93,39,74]",0.00415937,Hanging head,3,1,com_pic/images/3.jpg,com_pic/masks/3.jpg
24,25,4,4,"[0,0,578,583]",0.311666667,Pump truck,10,1,com_pic/images/4.jpg,com_pic/masks/4.jpg
35,36,5,5,"[926,292,99,222]",0.02035,Crane,4,1,com_pic/images/5.jpg,com_pic/masks/5.jpg
36,37,5,5,"[1029,507,6,14]",7.78E-05,Hanging head,3,1,com_pic/images/5.jpg,com_pic/masks/5.jpg
50,51,7,7,"[768,0,285,853]",0.077280998,Pump truck,10,1,com_pic/images/7.jpg,com_pic/masks/7.jpg
51,52,8,8,"[0,0,243,543]",0.190167975,Crane,4,1,com_pic/images/8.jpg,com_pic/masks/8.jpg
52,53,8,8,"[119,553,83,50]",0.005981077,Other vehicle,13,1,com_pic/images/8.jpg,com_pic/masks/8.jpg
64,65,9,9,"[198,162,1081,609]",0.535749512,Concrete mixer,11,1,com_pic/images/9.jpg,com_pic/masks/9.jpg
116897,116898,19396,19396,"[0,638,52,25]",0.001203704,Other vehicle,13,1,com_pic/images/19396.jpg,com_pic/masks/19396.jpg
116914,116915,19400,19400,"[477,158,16,10]",0.000466976,Other vehicle,13,1,com_pic/images/19400.jpg,com_pic/masks/19400.jpg
116915,116916,19400,19400,"[545,147,16,9]",0.000420278,Other vehicle,13,1,com_pic/images/19400.jpg,com_pic/masks/19400.jpg
116916,116917,19400,19400,"[585,151,25,15]",0.001094475,Other vehicle,13,1,com_pic/images/19400.jpg,com_pic/masks/19400.jpg
116936,116937,19404,19404,"[775,120,20,52]",0.00181311,Crane,4,1,com_pic/images/19404.jpg,com_pic/masks/19404.jpg
116937,116938,19404,19404,"[333,454,27,19]",0.000894351,Other vehicle,13,1,com_pic/images/19404.jpg,com_pic/masks/19404.jpg
116938,116939,19404,19404,"[302,431,24,23]",0.000962343,Other vehicle,13,1,com_pic/images/19404.jpg,com_pic/masks/19404.jpg
116939,116940,19404,19404,"[258,407,22,16]",0.000613668,Other vehicle,13,1,com_pic/images/19404.jpg,com_pic/masks/19404.jpg
116940,116941,19404,19404,"[223,393,19,18]",0.000596234,Other vehicle,13,1,com_pic/images/19404.jpg,com_pic/masks/19404.jpg
116941,116942,19404,19404,"[181,294,30,23]",0.001202929,Concrete mixer,11,1,com_pic/images/19404.jpg,com_pic/masks/19404.jpg
72,73,11,11,"[367,122,196,282]",0.143221393,Crane,4,1,com_pic/images/11.jpg,com_pic/masks/11.jpg
74,75,11,11,"[286,315,18,24]",0.001119403,Other vehicle,13,1,com_pic/images/11.jpg,com_pic/masks/11.jpg
75,76,11,11,"[270,314,18,16]",0.000746269,Other vehicle,13,1,com_pic/images/11.jpg,com_pic/masks/11.jpg
76,77,11,11,"[44,397,25,24]",0.001554726,Other vehicle,13,1,com_pic/images/11.jpg,com_pic/masks/11.jpg
81,82,11,11,"[485,402,81,65]",0.013642724,Concrete mixer,11,1,com_pic/images/11.jpg,com_pic/masks/11.jpg
89,90,13,13,"[0,465,31,15]",0.000430556,Other vehicle,13,1,com_pic/images/13.jpg,com_pic/masks/13.jpg
90,91,13,13,"[0,457,53,23]",0.001128704,Other vehicle,13,1,com_pic/images/13.jpg,com_pic/masks/13.jpg
105,106,15,15,"[833,651,366,199]",0.067438889,Other vehicle,13,1,com_pic/images/15.jpg,com_pic/masks/15.jpg
106,107,15,15,"[0,558,202,131]",0.024501852,Other vehicle,13,1,com_pic/images/15.jpg,com_pic/masks/15.jpg
160,161,19,19,"[1050,143,63,227]",0.013241667,Pile driving,12,1,com_pic/images/19.jpg,com_pic/masks/19.jpg
116841,116842,19385,19385,"[501,24,35,38]",0.001916827,Other vehicle,13,1,com_pic/images/19385.jpg,com_pic/masks/19385.jpg
116842,116843,19385,19385,"[501,6,36,35]",0.001815941,Other vehicle,13,1,com_pic/images/19385.jpg,com_pic/masks/19385.jpg
116849,116850,19388,19388,"[323,319,63,157]",0.009158333,Hanging head,3,1,com_pic/images/19388.jpg,com_pic/masks/19388.jpg
