epoch,mAP,AP.5,AP.75,APs,APm,APl,AR1,AR10,AR100,ARs,ARm,ARl,box_loss,obj_loss,cls_loss,loss,lr_rate
0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0625,0.0126,0.014,0.0892,0.01
1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0562,0.0085,0.0131,0.0778,0.009998
2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0548,0.0075,0.0128,0.0752,0.009991
3,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0539,0.0073,0.0126,0.0738,0.00998
4,0.0001,0.0005,0.0,-1.0,0.0,0.0001,0.0004,0.0004,0.0004,-1.0,0.0,0.0004,0.0529,0.0073,0.0113,0.0716,0.009965
5,0.0017,0.0091,0.0001,-1.0,0.0,0.0017,0.0068,0.0299,0.0352,-1.0,0.0,0.0352,0.0524,0.0072,0.0103,0.0699,0.009945
6,0.004,0.0155,0.0011,-1.0,0.0,0.004,0.0183,0.0528,0.0558,-1.0,0.0,0.0558,0.0507,0.0072,0.0094,0.0673,0.00992
7,0.0045,0.0172,0.001,-1.0,0.0,0.0045,0.0185,0.0594,0.0769,-1.0,0.0,0.0769,0.0504,0.0072,0.009,0.0666,0.009892
8,0.0047,0.0186,0.0007,-1.0,0.0,0.0047,0.0204,0.0732,0.096,-1.0,0.0,0.096,0.0492,0.0073,0.0087,0.0651,0.009859
9,0.0103,0.0353,0.0026,-1.0,0.0,0.0103,0.0296,0.0802,0.0976,-1.0,0.0,0.0976,0.0482,0.0074,0.0083,0.0639,0.009821
10,0.012,0.0426,0.0035,-1.0,0.0,0.012,0.0441,0.095,0.0999,-1.0,0.0,0.0999,0.0471,0.0074,0.0081,0.0625,0.00978
11,0.0102,0.0321,0.0037,-1.0,0.0,0.0102,0.0285,0.0555,0.0598,-1.0,0.0,0.0598,0.0469,0.0075,0.0079,0.0624,0.009734
12,0.0268,0.0815,0.0087,-1.0,0.0,0.0268,0.0551,0.113,0.1165,-1.0,0.0,0.1165,0.0462,0.0075,0.0079,0.0616,0.009684
13,0.012,0.0524,0.0014,-1.0,0.0,0.012,0.0359,0.0937,0.1055,-1.0,0.0,0.1055,0.0456,0.0075,0.0077,0.0608,0.00963
14,0.016,0.0547,0.004,-1.0,0.0,0.016,0.0462,0.0979,0.1068,-1.0,0.0,0.1068,0.0453,0.0075,0.0074,0.0602,0.009572
15,0.0079,0.0303,0.0015,-1.0,0.0,0.0079,0.0356,0.0673,0.0737,-1.0,0.0,0.0737,0.0448,0.0076,0.0075,0.0598,0.00951
16,0.0233,0.0771,0.0079,-1.0,0.0,0.0233,0.049,0.101,0.1075,-1.0,0.0,0.1075,0.0454,0.0076,0.0075,0.0604,0.009443
17,0.0273,0.0811,0.0113,-1.0,0.0,0.0273,0.0509,0.1095,0.1151,-1.0,0.0,0.1151,0.0442,0.0076,0.0071,0.0589,0.009373
18,0.0133,0.0506,0.0026,-1.0,0.0,0.0133,0.0635,0.1173,0.1259,-1.0,0.0,0.126,0.0433,0.0076,0.0069,0.0577,0.009299
19,0.0135,0.052,0.0017,-1.0,0.0,0.0135,0.0402,0.0923,0.1003,-1.0,0.0,0.1003,0.0432,0.0076,0.0068,0.0576,0.009222
20,0.0339,0.0906,0.0187,-1.0,0.0,0.0339,0.0806,0.1508,0.1596,-1.0,0.0,0.1596,0.043,0.0077,0.0069,0.0575,0.009141
21,0.0047,0.0139,0.0015,-1.0,0.0,0.0047,0.0266,0.0757,0.0848,-1.0,0.0,0.0848,0.0419,0.0077,0.0068,0.0564,0.009056
22,0.0269,0.0807,0.0084,-1.0,0.0,0.0269,0.0799,0.1398,0.1473,-1.0,0.0,0.1474,0.0422,0.0077,0.0067,0.0566,0.008967
23,0.0061,0.0196,0.0023,-1.0,0.0,0.0061,0.0454,0.1051,0.1183,-1.0,0.0,0.1183,0.0417,0.0077,0.0065,0.0559,0.008875
24,0.0065,0.0287,0.0014,-1.0,0.0,0.0065,0.0404,0.0892,0.1087,-1.0,0.0,0.1087,0.0413,0.0077,0.0065,0.0554,0.00878
25,0.0212,0.0701,0.0065,-1.0,0.0,0.0212,0.064,0.1486,0.1541,-1.0,0.0,0.1542,0.0405,0.0077,0.0061,0.0544,0.008682
26,0.0181,0.0654,0.0062,-1.0,0.0,0.0181,0.053,0.111,0.1217,-1.0,0.0,0.1217,0.0409,0.0077,0.0062,0.0548,0.00858
27,0.0216,0.0685,0.0086,-1.0,0.0,0.0216,0.0716,0.1387,0.1476,-1.0,0.0,0.1476,0.0402,0.0077,0.0059,0.0538,0.008476
28,0.0288,0.0846,0.0148,-1.0,0.0,0.0288,0.0815,0.1536,0.1578,-1.0,0.0,0.1579,0.0395,0.0077,0.0057,0.0529,0.008368
29,0.0225,0.0637,0.0121,-1.0,0.0,0.0225,0.0781,0.132,0.139,-1.0,0.0,0.1391,0.0398,0.0077,0.006,0.0535,0.008258
30,0.0236,0.0728,0.0098,-1.0,0.0,0.0236,0.0793,0.1193,0.1216,-1.0,0.0,0.1217,0.0391,0.0077,0.0057,0.0524,0.008145
31,0.0221,0.0625,0.0117,-1.0,0.0,0.0221,0.0555,0.1147,0.1195,-1.0,0.0,0.1195,0.0381,0.0077,0.0054,0.0511,0.008029
32,0.0227,0.0616,0.0124,-1.0,0.0,0.0227,0.0612,0.1191,0.1253,-1.0,0.0,0.1254,0.0376,0.0077,0.0053,0.0506,0.007911
33,0.0278,0.0789,0.0159,-1.0,0.0,0.0278,0.0806,0.138,0.1474,-1.0,0.0,0.1474,0.0371,0.0076,0.0051,0.0499,0.007791
